,date,text
84,2020-07-16,"Esto es una BURLA al pueblo
El #Charlieman capaz de salvar el planeta, llega a la historica tasa de 20.1% de desempleados y les manda ""solidaridad"".

NO maje aterrice, la gente quiere TRABAJAR, TRABAJAR y TRABAJAR, no cartitas https://t.co/2OqcEVFdkg https://t.co/PfMMjisMAg"
85,2020-07-16,#Internacionales Costa Rica alcanzó nivel recórd de desempleo entre marzo y mayo: https://t.co/o91kBSgl4w . https://t.co/e2d0LcfAQG
86,2020-07-16,"La empresa de zona franca IBM Costa Rica, asociado de AZOFRAS, anuncia nuevo servicio de ""gestión multinube-2"" y oportunidades de empleo. 
#CostaRica #ZonasFrancas #Tecnología

https://t.co/k0BT4SbLRS"
87,2020-07-16,Carlos Alvarado le envía solidaridad a las personas que sufren desempleo https://t.co/ChpXqWMwpn
88,2020-07-16,"La Encuesta también señala que en su medición son las mujeres (26,0%) las que presentan una mayor tasa de desempleo comparado con los hombres (16,03%).
https://t.co/tGvsJnVQsI"
89,2020-07-16,Desempleo en Costa Rica alcanza nivel récord en medio de pandemia https://t.co/nZVM90ERFy a través de @tvnnoticias
90,2020-07-16,IBM anuncia nuevo servicio de “gestión multinube” brindado desde Costa Rica y oportunidades de empleo https://t.co/44TkrSPrTN https://t.co/C7Dt7qnKY8
91,2020-07-16,"uno de los países más pequeños del mundo. Siguiendo con los números,en los países vecinos, Guatemala y Panamá no se llegaba a esta altísima tasa de desempleo, mientras que en Costa Rica ya se superaba la tasa de desempleo de la Argentina misma! Es decir, que esta recesión"
92,2020-07-16,"Según la publicación de la @bbcmundo en febrero de este año, ANTES DE LA PANDEMIA, Costa Rica ostentaba EL SEGUNDO LUGAR CON LA TASA DE DESEMPLEO MÁS ALTA, con un 11,5% después del 12,2 % de Brasil. Es decir que el QUINTO PAÍS MÁS GRANDE DEL MUNDO compite en desempleo contra CR, https://t.co/gy693Pg1pg"
93,2020-07-16,"Hoy llegamos a un alarmante porcentaje del 20% de desempleo en Costa Rica, imposible culpar a una pandemia que lleva 4 meses, cuando en 2 años de la administración de @CarlosAlvQ no se ha abordado el desempleo NUNCA. Veamos los números que lo ratifican. https://t.co/y2YAdM2qk1"
94,2020-07-16,"El desempleo en Costa Rica alcanzó 20,1% para el trimestre de marzo a mayo, el más alto que ha registrado el país, y refleja el impacto de la pandemia de la COVID-19, informó este jueves el organismo oficial de estadística https://t.co/9UypGnBlsy"
